X,Y
0,38.1176
1,37.4706
2,35.0000
3,33.5294
4,32.5294
5,30.3529
6,30.5294
7,32.5294
8,29.5882
9,31.8235
10,28.1176
11,24.3529
12,30.1765
13,27.8824
14,27.4118
15,26.4118
16,32.3529
17,32.4706
18,32.4706
19,30.1765
20,35.0000
21,31.3529
22,26.7647
23,31.2353
24,32.7647
25,32.5294
26,32.5882
27,36.4118
28,30.7059
29,30.2941
30,32.9412
31,34.8235
32,39.1176
33,34.0000
34,33.4118
35,35.1765
36,32.2353
37,32.5294
38,31.8824
39,32.5882
40,28.2941
41,30.2941
42,33.0588
43,27.7647
44,31.2353
45,33.9412
46,30.1176
47,27.4118
48,32.8824
49,33.5294
50,33.5294
51,33.0588
52,29.7647
53,34.1176
54,31.7647
55,36.5882
56,29.3529
57,31.1176
58,29.3529
59,28.5294
60,30.8824
61,33.8235
62,27.2353
63,29.3529
64,25.4118
65,27.8235
66,31.7647
67,31.8824
68,31.8824
69,31.0588
70,23.4118
71,33.2353
72,33.0000
73,25.4706
74,32.1176
75,33.0000
76,29.7059
77,31.1176
78,26.8235
79,33.0588
80,29.1176
81,27.2941
82,30.3529
83,31.5294
84,30.7647
85,32.1765
86,28.8824
87,29.2353
88,26.7059
89,30.3529
90,33.7647
91,30.4706
92,36.5882
93,30.6471
94,30.0000
95,27.9412
96,34.7647
97,30.8235
98,34.2941
99,33.8235
100,30.0000
101,32.4118
102,35.3529
103,34.0588
104,37.3529
105,33.6471
106,30.4706
107,29.8824
108,31.5294
109,29.3529
110,29.1765
111,30.4706
112,31.8824
113,35.2353
114,29.8235
115,33.9412
116,34.2353
117,31.0000
118,30.8235
119,33.5294
120,35.0588
121,35.0000
122,33.8824
123,34.3529
124,33.5294
125,34.8824
126,30.0000
127,32.8235
128,33.2941
129,36.2941
130,34.5882
131,33.8235
132,35.4118
133,33.8235
134,32.2353
135,35.1176
136,33.4706
137,34.2941
138,34.9412
139,35.1765
140,30.7059
141,33.5294
142,34.7647
143,37.9412
144,33.7059
145,34.7647
146,37.0588
147,41.3529
148,36.4118
149,40.6471
150,40.4706
151,35.6471
152,36.5294
153,37.3529
154,39.7059
155,40.2353
156,38.0000
157,38.1765
158,40.2941
159,37.2941
160,35.7059
161,38.2353
162,39.6471
163,42.5294
164,38.6471
165,36.1176
166,40.1176
167,39.9412
168,42.1765
169,43.0000
170,41.0588
171,41.8824
172,38.1765
173,38.5294
174,38.0000
175,40.1176
176,40.4118
177,44.7059
178,44.8235
179,45.7647
180,38.1765
181,40.8235
182,34.0000
183,38.7647
184,32.9412
185,31.2353
186,29.6471
187,28.1176
188,23.0588
189,23.7059
190,20.4118
191,16.1765
192,11.1176
193,12.8824
194,9.1765
195,11.1176
